variant,horizon,seed,trainable_params,test_mse,test_mae
full,90,2026,393794,193350.5724879029,347.08577855024214
full,90,2027,393794,197839.73428698254,348.0447001174864
full,90,2028,393794,192112.51562199183,343.1656627500597
full,90,2029,393794,184235.46877507571,334.21418081862095
full,90,2030,393794,193434.158869033,344.0119819136112
full,365,2026,532669,478644.9458249107,558.6782763735065
full,365,2027,532669,434045.00576712197,526.0227787157278
full,365,2028,532669,393361.01206883165,501.2993350719459
full,365,2029,532669,413277.84860006726,516.1799238326964
full,365,2030,532669,423178.87279969186,518.5903528813774
no_correction,90,2026,244340,188178.9896028512,338.9916219866745
no_correction,90,2027,244340,197517.98750779012,353.09044748808026
no_correction,90,2028,244340,199347.16794607378,353.2598150993377
no_correction,90,2029,244340,190602.99683746486,341.18045732359377
no_correction,90,2030,244340,200994.29603192047,351.454138827823
no_correction,365,2026,347740,447739.7099622797,539.3113126524429
no_correction,365,2027,347740,445635.5822010511,537.1197532089977
no_correction,365,2028,347740,455345.24331091595,542.6342127816279
no_correction,365,2029,347740,455076.5114050756,545.8329491529611
no_correction,365,2030,347740,435010.7642841696,529.2262617394274
no_decomposition,90,2026,393794,193349.43694851093,346.34265399711035
no_decomposition,90,2027,393794,192122.83653602054,345.1235374854935
no_decomposition,90,2028,393794,187468.9439660967,339.2264076988576
no_decomposition,90,2029,393794,174689.19200428686,322.448621483088
no_decomposition,90,2030,393794,190007.3813249728,340.9967171658935
no_decomposition,365,2026,532669,483217.06138678855,562.666355156583
no_decomposition,365,2027,532669,501345.754965319,567.8421107616946
no_decomposition,365,2028,532669,479751.06923920574,558.4627066352261
no_decomposition,365,2029,532669,523648.678135714,588.9045119415616
no_decomposition,365,2030,532669,521272.30400943314,580.8832829878246
no_window_norm,90,2026,393794,169540.05229107785,320.4148972007277
no_window_norm,90,2027,393794,172628.97740978634,322.16423803258976
no_window_norm,90,2028,393794,168626.58190896947,317.85509361385226
no_window_norm,90,2029,393794,166897.1707708691,315.4017916932719
no_window_norm,90,2030,393794,168375.16237174318,317.4352663618226
no_window_norm,365,2026,532669,437763.9847038102,536.844738331602
no_window_norm,365,2027,532669,457191.96623378067,549.0126916690837
no_window_norm,365,2028,532669,419581.9508887097,521.8271781947603
no_window_norm,365,2029,532669,434306.75998018915,531.5194767272684
no_window_norm,365,2030,532669,450682.14226504794,545.4548918934842
no_variable_attention,90,2026,393794,186800.74944246787,339.0068098157792
no_variable_attention,90,2027,393794,191205.91670792364,340.8518439233507
no_variable_attention,90,2028,393794,184175.4784314494,331.8971422970191
no_variable_attention,90,2029,393794,180290.52734101337,331.35104947968836
no_variable_attention,90,2030,393794,191132.37122432014,343.23252252175024
no_variable_attention,365,2026,532669,381591.03826266574,492.63068460566564
no_variable_attention,365,2027,532669,463970.5548516668,543.8400331079611
no_variable_attention,365,2028,532669,410871.94259222975,512.0769200226142
no_variable_attention,365,2029,532669,439601.9995008307,534.004189986596
no_variable_attention,365,2030,532669,463878.9901590941,547.1715297969754
