model,horizon,seed,calibration_method,calibration_scale,calibration_bias,raw_test_mse,raw_test_mae,calibrated_test_mse,calibrated_test_mae
lstm,90,2026,validation_affine,0.9926961660385132,-0.09837785363197327,161157.8942449275,310.77150760872325,165917.68213506302,319.4647343576249
lstm,90,2027,validation_affine,0.9917123913764954,-0.10601940751075745,162011.24503934322,310.1227352439501,167185.83124730896,319.7126102522567
lstm,90,2028,validation_affine,1.0389420986175537,-0.09881921857595444,164104.42111478074,311.9767180222052,169688.81429271572,322.0386126895497
lstm,90,2029,validation_affine,1.0306146144866943,-0.11250822246074677,164877.40605577515,315.0864301924438,170646.23380844097,325.6364885661281
lstm,90,2030,validation_affine,0.987897515296936,-0.11235693097114563,164179.7660362558,314.2795668317793,167350.9533807196,322.06192446347205
lstm,365,2026,validation_affine,0.45728519558906555,-0.2187640517950058,329764.69128106075,455.8525725096977,282296.68352588324,417.44309813679075
lstm,365,2027,validation_affine,0.3486819267272949,-0.21619802713394165,298547.2203523583,433.28841949550343,266557.679114546,404.5094281753622
lstm,365,2028,validation_affine,0.24075420200824738,-0.21888451278209686,314679.25734487025,445.83288175477696,267070.4957876809,404.75792589065094
lstm,365,2029,validation_affine,0.38864535093307495,-0.21389073133468628,302937.81425958406,435.6503108255179,269899.94573792774,406.9896599422699
lstm,365,2030,validation_affine,0.3814482092857361,-0.21572831273078918,335832.4595716404,461.3683724916344,278281.5812770268,414.22506175106827
transformer,90,2026,validation_affine,1.0085598230361938,-0.1076267808675766,156113.254481926,305.2473367057872,159333.82144511762,313.13622998907374
transformer,90,2027,validation_affine,1.0188591480255127,-0.0982828140258789,152171.93853697242,299.60750528409545,156761.13490530348,309.70941922807094
transformer,90,2028,validation_affine,1.008959174156189,-0.05472415313124657,156291.1284428408,304.3878136002316,159852.82818002108,310.99627438410977
transformer,90,2029,validation_affine,0.988640308380127,-0.09244562685489655,156203.86159747667,303.9453560931958,158612.70270973205,311.30942606424315
transformer,90,2030,validation_affine,1.0063388347625732,-0.06987529993057251,162380.92060751008,313.3184735731333,165805.36579667486,318.4067099084271
transformer,365,2026,validation_affine,0.616411030292511,-0.16267839074134827,451365.58912326786,552.1942825200733,353751.15465471207,478.73760798188044
transformer,365,2027,validation_affine,0.638166069984436,-0.16920305788516998,441461.93382972595,546.2997527932727,353847.082387195,478.45302460252964
transformer,365,2028,validation_affine,0.546530544757843,-0.1681951880455017,505881.4082738703,591.5318767491809,364630.2181664838,487.53444588689536
transformer,365,2029,validation_affine,0.7103762626647949,-0.16644273698329926,378260.74451092613,500.29941094866035,327538.12898570724,458.1306906119639
transformer,365,2030,validation_affine,0.6101288199424744,-0.16445519030094147,434245.31031229143,538.7812661879171,347935.72204992385,473.4428951883546
dmsaformer,90,2026,validation_affine,0.6872984766960144,-0.08284752815961838,193304.24875475158,345.3080957545411,174636.65574918035,323.03506060517765
dmsaformer,90,2027,validation_affine,1.0154099464416504,-0.05531492829322815,160905.99181839504,308.1705566580324,161328.44562714428,310.0176967814357
dmsaformer,90,2028,validation_affine,1.042645812034607,-0.03325473517179489,158037.77373661558,306.7861544557171,161368.42189369706,311.49716715422204
dmsaformer,90,2029,validation_affine,1.0020723342895508,-0.08574065566062927,161429.11308779594,310.34031786390693,159012.9417514264,309.07462943401225
dmsaformer,90,2030,validation_affine,1.0081970691680908,-0.08086621016263962,159662.13152844977,306.3293956369137,159183.42355803307,308.23387202426767
dmsaformer,365,2026,validation_affine,0.6735886931419373,-0.18399028480052948,354425.10539150005,482.918946148706,302988.3944712899,437.9713514247269
dmsaformer,365,2027,validation_affine,0.5939496755599976,-0.17758119106292725,404506.1043144167,521.0853929959898,325325.9015608201,456.3341600663804
dmsaformer,365,2028,validation_affine,0.6517453193664551,-0.1747080385684967,283952.9152037479,420.15024848715416,258016.58250306698,397.70326392031683
dmsaformer,365,2029,validation_affine,0.5682438611984253,-0.17651084065437317,401486.901722462,517.6175893690511,321738.8422777648,453.51261538547146
dmsaformer,365,2030,validation_affine,0.6139553785324097,-0.17085346579551697,297943.7527078507,434.8455782818482,266204.4433415028,405.87014857871543
